k,n,el_str,total_coe,rep_coe,reference,order,composition,rep_linear,307,Unnamed: 9
16,10.0,9 4 4 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,\Delta(\bar{\nu}_{19})\equiv \sigma_9\nu_{16}^3 \mod E^3\pi_{22}^6,0.0,\sigma10\nu17^3,0,,
16,10.0,9 2 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,\Delta(\varepsilon_{19})\equiv \sigma_9\eta_{16}\varepsilon_{17} \mod E^3\pi_{22}^6,0.0,\sigma10\eta17\varepsilon18,0,,
16,10.0,12 9,1.0,8 1 0 0 0 0 0 0 0 0 0 0,"p156, \ \Delta(8\sigma_{21})=\sigma_{10}\mu_{17}+\mu_{10}\sigma_{19}",2.0,\mu10\sigma19,8\Delta(\sigma21)+\sigma10\mu17,,
16,17.0,35,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p160, \ \Delta(\eta_{33})\equiv E \eta^{*}{'} \mod E^2\pi_{30}^{14}",0.0,E^2\eta^{*}{'},0,,
16,18.0,36,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Prop12.20, \ \eta^{*}_{18}\equiv \omega_{18} \mod \sigma_{18}\mu_{25}",2.0,\eta^{*}_{18},\omega18,,
16,7.0,8 2 10,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"(12.4), \  \sigma'\eta_{14}\varepsilon_{15}=E \zeta'",2.0,\sigma'\eta14\varepsilon15,E\zeta',,
16,5.0,4 9 4 4,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Lem12.10, \  \nu_5\sigma_8\nu_{15}^2=\eta_5\bar{\varepsilon}_6",2.0,\nu5\sigma8\nu15^2,\eta5\bar{\varepsilon}6,,
16,3.0,10 10,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Lem12.10, \  \varepsilon_{3}^2=\eta_3\bar{\varepsilon}_4",2.0,\varepsilon3^2,\eta3\bar{\varepsilon}4,,
16,3.0,10 11,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Lem12.10, \  \varepsilon_3\bar{\nu}_{11}=\eta_3\bar{\varepsilon}_4",2.0,\varepsilon3\bar{\nu}11,\eta3\bar{\varepsilon}4,,
16,3.0,25 2,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Lem12.10, \  \bar{\varepsilon}_3\eta_{18}=\eta_3\bar{\varepsilon}_4",2.0,\bar{\varepsilon}3\eta18,\eta3\bar{\varepsilon}4,,
